iter	MultiClass
204	0.2734513802
205	0.2733822135
206	0.2732957552
207	0.2731842448
208	0.2730427604
209	0.2729577083
210	0.2728891667
211	0.2728184896
212	0.2727238281
213	0.2726506771
214	0.2725934896
215	0.2725236458
216	0.2724577604
217	0.2723491927
218	0.2722498437
219	0.2721436979
220	0.2720445052
221	0.2719446875
222	0.2718757813
223	0.2717984635
224	0.2717152604
225	0.271591901
226	0.2714916146
227	0.27136
228	0.2712945052
229	0.2711638281
230	0.2710788021
231	0.270992526
232	0.2708808594
233	0.2707601562
234	0.2706604427
235	0.2706102865
236	0.2704989583
237	0.2704280208
238	0.270307526
239	0.2702386198
240	0.2701777083
241	0.2701158333
242	0.2700459896
243	0.2699930208
244	0.2699252083
245	0.2698008073
246	0.2697402865
247	0.2696330469
248	0.269541875
249	0.2694463021
250	0.2693943229
251	0.2693120052
252	0.2692352083
253	0.269166875
254	0.2691066667
255	0.2690210677
256	0.2689426563
257	0.2688750521
258	0.2688055208
259	0.2687116146
260	0.2686371875
261	0.2685729167
262	0.268463724
263	0.2683696615
264	0.2683035677
265	0.26820625
266	0.268135599
267	0.2680602865
268	0.2680048437
269	0.267939974
270	0.2678104687
271	0.2677098958
272	0.267663099
273	0.2676282812
274	0.2675770573
275	0.2674900781
276	0.2673876562
277	0.2673279687
278	0.2671974219
279	0.2671352604
280	0.2670554167
281	0.2669723958
282	0.2669001563
283	0.2668242969
284	0.2667658073
285	0.2667098177
286	0.2666291667
287	0.2665263542
288	0.266425026
289	0.2663592188
290	0.2663069271
291	0.2662178906
292	0.2661598698
293	0.2661177083
294	0.266018151
295	0.2659717448
296	0.2658576823
297	0.2658055208
298	0.2657471615
299	0.2656741667
300	0.2655799479
301	0.2655152344
302	0.2654555469
303	0.2653797656
304	0.2652869792
305	0.2652380208
306	0.265158151
307	0.2650964583
308	0.2650428125
309	0.2649729427
310	0.264884375
311	0.2648398177
312	0.2647806771
313	0.2647382292
314	0.264685651
315	0.2646148958
316	0.2645641406
317	0.2644545052
318	0.2643626823
319	0.2643052083
320	0.2642451823
321	0.2641515104
322	0.2640611458
323	0.2639777865
324	0.2639159896
325	0.2638108073
326	0.2637670833
327	0.2636613542
328	0.2635917187
329	0.2635258073
330	0.2634878646
331	0.2634338281
332	0.2633949219
333	0.2633128125
334	0.2632711979
335	0.2632122135
336	0.26314125
337	0.2630817188
338	0.2629998438
339	0.262858151
340	0.2627682813
341	0.2627226042
342	0.2626741406
343	0.2626322396
344	0.2625777604
345	0.262535651
346	0.2624836458
347	0.2624114844
348	0.2623700521
349	0.2623065365
350	0.2622488542
351	0.262203724
352	0.2621244792
353	0.2620607552
354	0.26201625
355	0.2619839063
356	0.2619430469
357	0.2618457031
358	0.2617958073
359	0.2617017187
360	0.261658724
361	0.2615928906
362	0.2615436198
363	0.2614838802
364	0.2614302865
365	0.2613759115
366	0.261316276
367	0.2612692969
368	0.2611919271
369	0.2611184896
370	0.261073776
371	0.2609969271
372	0.2609398177
373	0.2608411198
374	0.2607899219
375	0.2607459375
376	0.2607025
377	0.2606538021
378	0.2606076562
379	0.2605242187
380	0.2604495573
381	0.2604105208
382	0.2603570833
383	0.2602881771
384	0.2602202604
385	0.2601751042
386	0.2601371615
387	0.2600903646
388	0.2600057813
389	0.2599728906
390	0.2599357031
391	0.2598972396
392	0.2598411198
393	0.2598141146
394	0.2597563542
395	0.2596851042
396	0.2595939063
397	0.2595325781
398	0.2594675
399	0.2594242187
400	0.2593699479
401	0.2593347656
402	0.2592853125
403	0.2592205729
404	0.259156276
405	0.2591003646
406	0.2590360417
407	0.2589510677
408	0.2588741406
409	0.2588353906
410	0.2587861979
411	0.2587442187
412	0.2587151042
413	0.2586573958
414	0.258602474
415	0.2585615625
416	0.258493125
417	0.2584385677
418	0.2583848177
419	0.2583416927
420	0.258288151
421	0.258244375
422	0.2581903125
423	0.2580948438
424	0.2580300781
425	0.2579590104
426	0.2579001302
427	0.2578630729
428	0.2578344271
429	0.2577661198
430	0.2577340365
431	0.2576810677
432	0.2576242969
433	0.2575907031
434	0.2575503906
435	0.2574955469
436	0.2574676823
437	0.2574392969
438	0.2574041927
439	0.2573755469
440	0.2573416927
441	0.2572759896
442	0.2572442969
443	0.2572003385
444	0.2571347135
445	0.2570972135
446	0.2570422917
447	0.2569995573
448	0.2569413281
449	0.2568846615
450	0.2568454688
451	0.2567796094
452	0.2567331771
453	0.2566946354
454	0.2566423698
455	0.2566057552
456	0.2565608594
457	0.2565182552
458	0.2564727604
459	0.2564313021
460	0.256400026
461	0.2563459375
462	0.2563098698
463	0.2562627865
464	0.2561878906
465	0.2561221094
466	0.2560871354
467	0.2560271094
468	0.2559792969
469	0.2559519531
470	0.2559178385
471	0.255865599
472	0.2558213542
473	0.2557877865
474	0.2557544271
475	0.2557248177
476	0.2556917188
477	0.2556524479
478	0.2556121875
479	0.2555400521
480	0.2554916927
481	0.2554409375
482	0.2554058333
483	0.2553663281
484	0.255325
485	0.2552758333
486	0.2552078906
487	0.2551699479
488	0.2551292969
489	0.2550566667
490	0.2549988802
491	0.2549167448
492	0.2548845833
493	0.2548416927
494	0.254790026
495	0.2547336979
496	0.2546946354
497	0.2546425781
498	0.2545970312
499	0.254534401
500	0.2544969271
501	0.2544413542
502	0.2544041667
503	0.254358724
504	0.2543316406
505	0.2542982031
506	0.2542595833
507	0.2542261979
508	0.2541808073
509	0.254121901
510	0.2540678385
511	0.2540352865
512	0.2539646875
513	0.2539107552
514	0.2538620573
515	0.2537984635
516	0.2537619531
517	0.2537304427
518	0.253705651
519	0.2536748958
520	0.253646224
521	0.2535915885
522	0.2535584896
523	0.2535078385
524	0.2534676823
525	0.2534400781
526	0.2533801042
527	0.2533326302
528	0.2532831771
529	0.2532371615
530	0.2532059115
531	0.2531785417
532	0.2531529167
533	0.2531096354
534	0.2530788542
535	0.2530423698
536	0.2529921354
537	0.252950625
538	0.252906901
539	0.2528435417
540	0.252813125
541	0.25276375
542	0.2527279687
543	0.2526816406
544	0.2526478385
545	0.2526228906
546	0.2525821354
547	0.2525515365
548	0.2525220052
549	0.2524600781
550	0.2524331771
551	0.2523861458
552	0.2523496615
553	0.2522849219
554	0.252251276
555	0.2522030469
556	0.252162474
557	0.2521057552
558	0.2520570573
559	0.2520159375
560	0.2519747917
561	0.2519499219
562	0.2519223437
563	0.2518847917
564	0.2518454167
565	0.2518054687
566	0.251781875
567	0.2517428385
568	0.2516992969
569	0.2516503906
570	0.2515983333
571	0.2515601042
572	0.2515176562
573	0.2514898698
574	0.2514567448
575	0.2514315104
576	0.2513984115
577	0.2513595833
578	0.2513238542
579	0.251265
580	0.2512025521
581	0.251169974
582	0.2511126823
583	0.2510874219
584	0.2510369531
585	0.2510036198
586	0.2509610937
587	0.2509178385
588	0.2508853385
589	0.2508521094
590	0.2508283854
591	0.2507896875
592	0.2507345573
593	0.2507023438
594	0.2506584375
595	0.2506264583
596	0.2506032552
597	0.2505840625
598	0.2505579688
599	0.2505214583
600	0.2504853906
601	0.2504575781
602	0.2504149479
603	0.2503565365
604	0.2503314583
605	0.250308125
606	0.2502694271
607	0.2502454167
608	0.2502150781
609	0.2501864323
610	0.2501505208
611	0.2501033854
612	0.250078776
613	0.2500477865
614	0.249999401
615	0.2499504427
616	0.2499057031
617	0.2498719792
618	0.2498300781
619	0.2498038542
620	0.2497752344
621	0.2497377865
622	0.2496815625
623	0.2496464323
624	0.2495955729
625	0.2495722656
626	0.2495415885
627	0.249515
628	0.2494898177
629	0.2494602344
630	0.2494384375
631	0.2494073177
632	0.2493823438
633	0.2493460417
634	0.2493109635
635	0.2492761458
636	0.2492365104
637	0.2492058854
638	0.249160599
639	0.2491369531
640	0.2491146875
641	0.2490685156
642	0.2490161198
643	0.2489739583
644	0.2489407031
645	0.2489177604
646	0.2488852604
647	0.2488292969
648	0.2488045052
649	0.2487829167
650	0.2487329688
651	0.2486817969
652	0.2486541667
653	0.2486144271
654	0.2485866927
655	0.2485419792
656	0.2484960677
657	0.2484757031
658	0.2484358854
659	0.2484221354
660	0.2483955208
661	0.2483803906
662	0.2483551302
663	0.2483138802
664	0.2482680469
665	0.2482433594
666	0.2481941667
667	0.2481684896
668	0.2481285677
669	0.2481061458
670	0.248071875
671	0.248041901
672	0.2480021094
673	0.2479747917
674	0.2479469792
675	0.2479183854
676	0.2478842708
677	0.2478594531
678	0.2478394271
679	0.2478086458
680	0.2477657292
681	0.2477321875
682	0.2477051563
683	0.2476626823
684	0.2476391406
685	0.247609349
686	0.247573099
687	0.2475467448
688	0.2475178906
689	0.2474906771
690	0.247470026
691	0.2474384896
692	0.2473985417
693	0.2473706771
694	0.2473486198
695	0.2473354948
696	0.2473097135
697	0.247274349
698	0.2472329948
699	0.2472034896
700	0.247163125
701	0.2471343229
702	0.2470777865
703	0.2470558073
704	0.247019974
705	0.246991875
706	0.2469619531
707	0.2469354948
708	0.2468954948
709	0.2468725521
710	0.2468484115
711	0.2468146094
712	0.2467619792
713	0.2467203125
714	0.2466820312
715	0.2466431771
716	0.246612474
717	0.2465721354
718	0.2465430729
719	0.2465171615
720	0.2464765625
721	0.2464350781
722	0.2464072917
723	0.2463835677
724	0.2463452604
725	0.246312474
726	0.2462778906
727	0.2462432031
728	0.2462197656
729	0.246189375
730	0.2461638542
731	0.2461428125
732	0.2461083594
733	0.2460550781
734	0.2460334896
735	0.245996875
736	0.2459733594
737	0.2459445052
738	0.2459133594
739	0.2458877865
740	0.2458477604
741	0.2458095052
742	0.2457855208
743	0.2457579948
744	0.2457359896
745	0.2457090885
746	0.2456854948
747	0.245660026
748	0.2456169792
749	0.2455698698
750	0.2455450521
751	0.2455104167
752	0.2454810417
753	0.2454617708
754	0.2454029948
755	0.2453725
756	0.2453385677
757	0.2453044531
758	0.2452715885
759	0.2452430469
760	0.2451989844
761	0.2451710938
762	0.2451473177
763	0.2451129427
764	0.2450877083
765	0.2450563281
766	0.2450041667
767	0.2449684896
768	0.2449377083
769	0.2449044531
770	0.2448757813
771	0.2448576562
772	0.2448192708
773	0.2447929427
774	0.2447644531
775	0.2447265885
776	0.24470125
777	0.2446803646
778	0.2446460937
779	0.2446128906
780	0.2445808073
781	0.2445536198
782	0.2445070052
783	0.2444846615
784	0.244453099
785	0.24443375
786	0.2444074219
787	0.2443774479
788	0.2443549219
789	0.244326224
790	0.2443041667
791	0.2442726562
792	0.2442219792
793	0.2441833333
794	0.2441559375
795	0.2441238542
796	0.2440978385
797	0.2440614323
798	0.2440276563
799	0.2440036979
800	0.2439728646
801	0.2439490365
802	0.2439375781
803	0.2439047396
804	0.2438932031
805	0.2438571875
806	0.2438265885
807	0.2438023438
808	0.2437695573
809	0.2437479948
810	0.2437071354
811	0.2436789062
812	0.2436505208
813	0.2436346875
814	0.2435906771
815	0.2435686458
816	0.243528099
817	0.2435032813
818	0.2434796615
819	0.2434616667
820	0.2434374479
821	0.2434020833
822	0.2433688281
823	0.2433425781
824	0.2433169792
825	0.2432926042
826	0.2432683333
827	0.2432402083
828	0.2432036458
829	0.2431816667
830	0.2431555729
831	0.2431428125
832	0.2431167969
833	0.2430802083
834	0.2430540625
835	0.2430296094
836	0.2429858073
837	0.2429629427
838	0.2429336719
839	0.2428957292
840	0.2428632031
841	0.2428219531
842	0.2427947135
843	0.242768099
844	0.2427385938
845	0.2427084115
846	0.2426910677
847	0.2426653125
848	0.2426340885
849	0.2426073698
850	0.2425899479
851	0.2425651823
852	0.2425472135
853	0.2424916406
854	0.242465599
855	0.2424467969
856	0.2424221615
857	0.2423826302
858	0.2423632292
859	0.2423386458
860	0.242313151
861	0.2422699479
862	0.2422342448
863	0.2422108594
864	0.2421903385
865	0.2421611198
866	0.2421323958
867	0.2421040885
868	0.2420385938
869	0.2420173177
870	0.2419891667
871	0.2419803906
872	0.241961276
873	0.2419247917
874	0.2419028125
875	0.2418809635
876	0.2418635677
877	0.2418242448
878	0.2417840365
879	0.24175875
880	0.2417413281
881	0.241720026
882	0.2417021094
883	0.2416875521
884	0.2416542188
885	0.241613151
886	0.2415892448
887	0.2415590104
888	0.241525599
889	0.2414959896
890	0.2414670312
891	0.2414302083
892	0.2413953385
893	0.2413715365
894	0.2413518229
895	0.2413192448
896	0.2412958594
897	0.2412724479
898	0.2412422396
899	0.2412211458
900	0.2411913542
901	0.2411645313
902	0.2411264063
903	0.2411054167
904	0.2410747917
905	0.2410630729
906	0.2410342448
907	0.2410033333
908	0.2409758333
909	0.2409502865
910	0.2409239323
911	0.2409003646
912	0.2408684635
913	0.2408573438
914	0.2408236719
915	0.2407986719
916	0.2407840365
917	0.2407515104
918	0.240730026
919	0.240696901
920	0.2406642708
921	0.2406377083
922	0.2406117708
923	0.2405758073
924	0.2405418229
925	0.2405023698
926	0.2404833854
927	0.2404632031
928	0.240438776
929	0.240416276
930	0.2403764323
931	0.240348151
932	0.2403179427
933	0.2402991927
934	0.2402758073
935	0.2402396094
936	0.2402140365
937	0.2401958073
938	0.2401589062
939	0.2401438802
940	0.240123125
941	0.2400946615
942	0.240064401
943	0.2400434635
944	0.2400126042
945	0.2399872135
946	0.2399614583
947	0.2399408594
948	0.2399101563
949	0.2398949219
950	0.2398746354
951	0.2398552865
952	0.2398351042
953	0.2398042448
954	0.2397921875
955	0.2397746875
956	0.2397514844
957	0.2397260677
958	0.2397072656
959	0.2396809896
960	0.2396545052
